Event type,Event data,IP Address,Source Module,Scope Distance,Event Tags,Discovery Path
STORAGE_BUCKET,"{'name': 'digitalocean', 'url': 'https://www.googleapis.com/storage/v1/b/digitalocean'}","142.251.10.95,74.125.200.95,74.125.24.95,2404:6800:4003:c02::5f,64.233.170.95,2404:6800:4003:c01::5f,74.125.68.95,2404:6800:4003:c05::5f,142.251.175.95,74.125.130.95,2404:6800:4003:c00::5f,142.251.12.95,172.253.118.95",bucket_google,1,"cloud-google,distance-1",Scan moist_fred seeded with DNS_NAME: digitalocean.com --> bucket_google tried 5 bucket variations of digitalocean.com and found STORAGE_BUCKET at https://www.googleapis.com/storage/v1/b/digitalocean
SOCIAL,"{'platform': 'github', 'profile_name': 'digitalocean', 'url': 'https://github.com/digitalocean'}",,github_org,1,"distance-1,github-org","Scan moist_fred seeded with DNS_NAME: digitalocean.com --> speculated ORG_STUB: digitalocean --> github_org tried ""digitalocean"" as GitHub profile and discovered SOCIAL: https://github.com/digitalocean"
FINDING,"{'host': 'digitalocean.com', 'description': 'OpenID Connect Endpoint (domain: digitalocean.com) found at https://login.windows.net/digitalocean.com/.well-known/openid-configuration', 'url': 'https://login.windows.net/digitalocean.com/.well-known/openid-configuration'}",,oauth,0,in-scope,"Scan moist_fred seeded with DNS_NAME: digitalocean.com --> oauth identified FINDING: OpenID Connect Endpoint for ""digitalocean.com"" at https://login.windows.net/digitalocean.com/.well-known/openid-configuration"
OPEN_TCP_PORT,digitalocean.com:443,"2606:4700::6813:ae44,104.19.173.68,104.19.174.68,2606:4700::6813:ad44",speculate,0,"cdn-cloudflare,cloud-digitalocean,in-scope",Scan moist_fred seeded with DNS_NAME: digitalocean.com --> speculated OPEN_TCP_PORT: digitalocean.com:443
URL,https://digitalocean.com/,104.19.173.68,httpx,0,"cdn-cloudflare,cloud-digitalocean,dir,http-title-301-moved-permanently,in-scope,ip-104-19-173-68,status-301",Scan moist_fred seeded with DNS_NAME: digitalocean.com --> speculated OPEN_TCP_PORT: digitalocean.com:443 --> httpx visited digitalocean.com:443 and got status code 301 at https://digitalocean.com/
DNS_NAME,mg-spf.greenhouse.io,,TXT,1,"affiliate,distance-1,subdomain,txt-record",Scan moist_fred seeded with DNS_NAME: digitalocean.com --> TXT record for digitalocean.com contains DNS_NAME: mg-spf.greenhouse.io
STORAGE_BUCKET,"{'name': 'digitalocean', 'url': 'https://digitalocean.s3.amazonaws.com/'}","52.92.202.169,52.92.235.9,52.92.137.249,52.92.206.161,52.92.154.73,52.92.232.201,52.218.220.195,52.92.139.121",bucket_amazon,1,"cloud-amazon,distance-1",Scan moist_fred seeded with DNS_NAME: digitalocean.com --> bucket_amazon tried 4 bucket variations of digitalocean.com and found STORAGE_BUCKET at https://digitalocean.s3.amazonaws.com/
STORAGE_BUCKET,"{'name': 'digitalocean', 'url': 'https://digitalocean.firebaseio.com/.json'}","34.120.160.131,35.201.97.85,35.190.39.113,2600:1901:0:4d00::,34.120.206.254",bucket_firebase,1,"cloud-google,distance-1",Scan moist_fred seeded with DNS_NAME: digitalocean.com --> bucket_firebase tried 3 bucket variations of digitalocean.com and found STORAGE_BUCKET at https://digitalocean.firebaseio.com/.json
DNS_NAME,sonar.digitalocean.com,"104.19.174.68,2606:4700::6813:ae44,104.19.173.68,2606:4700::6813:ad44",sslcert,0,"a-record,aaaa-record,cdn-cloudflare,cloud-digitalocean,in-scope,subdomain",Scan moist_fred seeded with DNS_NAME: digitalocean.com --> speculated OPEN_TCP_PORT: digitalocean.com:443 --> sslcert parsed SSL certificate at digitalocean.com:443 and found DNS_NAME: sonar.digitalocean.com
DNS_NAME,spf.digitalocean.com,,TXT,0,"cloud-digitalocean,in-scope,subdomain,txt-record",Scan moist_fred seeded with DNS_NAME: digitalocean.com --> TXT record for digitalocean.com contains DNS_NAME: spf.digitalocean.com
STORAGE_BUCKET,"{'name': 'digitalocean', 'url': 'https://digitalocean.firebaseio.com/'}","34.120.160.131,35.201.97.85,35.190.39.113,2600:1901:0:4d00::,34.120.206.254",cloud_google,1,"cloud-google,cloud-storage-bucket,distance-1",Scan moist_fred seeded with DNS_NAME: digitalocean.com --> bucket_firebase tried 3 bucket variations of digitalocean.com and found STORAGE_BUCKET at https://digitalocean.firebaseio.com/.json --> STORAGE_BUCKET has host DNS_NAME: digitalocean.firebaseio.com --> cloud_google derived STORAGE_BUCKET: digitalocean.firebaseio.com
DNS_NAME,sts.windows.net,"40.126.35.20,40.126.35.81,2603:1047:1:168::2f,40.126.35.84,2603:1047:1:168::1c,2603:1047:1:168::2e,2603:1047:1:168::29,40.126.35.145,2603:1047:1:168::24,20.190.163.18,40.126.35.134,20.190.163.19,20.190.163.21,2603:1047:1:168::11,2603:1047:1:168::1d,2603:1047:1:168::10",oauth->host,1,"a-record,aaaa-record,affiliate,cloud-azure,cname-record,distance-1,subdomain","Scan moist_fred seeded with DNS_NAME: digitalocean.com --> oauth analyzed OpenID configuration for ""digitalocean.com"" and found URL_UNVERIFIED: https://sts.windows.net/e3e671f5-d109-466d-98c2-b3fb0b4c1877/ --> URL_UNVERIFIED has host DNS_NAME: sts.windows.net"
DNS_NAME,pas.windows.net,"2603:1047:1:188::7,2603:1046:2000:190::7,20.190.163.23,2603:1046:2000:198::4,2603:1047:1:188::8,40.126.35.132,20.190.163.0,20.190.163.128,2603:1046:2000:190::6,40.126.35.131",oauth->host,1,"a-record,aaaa-record,affiliate,cloud-azure,cname-record,distance-1,subdomain","Scan moist_fred seeded with DNS_NAME: digitalocean.com --> oauth analyzed OpenID configuration for ""digitalocean.com"" and found URL_UNVERIFIED: https://pas.windows.net/ --> URL_UNVERIFIED has host DNS_NAME: pas.windows.net"
STORAGE_BUCKET,"{'name': 'digitalocean.com', 'url': 'https://digitalocean.com.s3.amazonaws.com/'}","54.231.132.49,54.231.168.73,3.5.29.232,3.5.31.178,16.182.38.193,54.231.140.49,52.216.250.100,3.5.25.22",bucket_amazon,1,"cloud-amazon,distance-1",Scan moist_fred seeded with DNS_NAME: digitalocean.com --> bucket_amazon tried 4 bucket variations of digitalocean.com and found STORAGE_BUCKET at https://digitalocean.com.s3.amazonaws.com/
DNS_NAME,lon1.sonar.digitalocean.com,"2606:4700::6813:ae44,104.19.174.68,104.19.173.68,2606:4700::6813:ad44",anubisdb,0,"a-record,aaaa-record,cdn-cloudflare,cloud-digitalocean,in-scope,subdomain","Scan moist_fred seeded with DNS_NAME: digitalocean.com --> anubisdb searched anubisdb API for ""digitalocean.com"" and found DNS_NAME: lon1.sonar.digitalocean.com"
TECHNOLOGY,"{'host': 'digitalocean.com', 'technology': 'cloudflare', 'url': 'https://digitalocean.com/'}","2606:4700::6813:ae44,104.19.173.68,104.19.174.68,2606:4700::6813:ad44",httpx->wappalyzer,0,"cdn-cloudflare,cloud-digitalocean,in-scope",Scan moist_fred seeded with DNS_NAME: digitalocean.com --> speculated OPEN_TCP_PORT: digitalocean.com:443 --> httpx visited digitalocean.com:443 and got status code 301 at https://digitalocean.com/ --> HTTP_RESPONSE was 167B with text/html content type --> wappalyzer analyzed HTTP_RESPONSE and identified TECHNOLOGY: cloudflare
DNS_NAME,login.windows.net,"40.126.35.20,2603:1047:1:190::3,40.126.35.81,2603:1047:1:190::2,2603:1046:2000:188::5,40.126.35.84,2603:1047:1:188::2,2603:1047:1:198::3,2603:1047:1:188::4,2603:1047:1:198::,40.126.35.145,40.126.35.134,20.190.163.18,20.190.163.19,20.190.163.21,2603:1046:2000:188::6",oauth->host,1,"a-record,aaaa-record,affiliate,cloud-azure,cname-record,distance-1,subdomain","Scan moist_fred seeded with DNS_NAME: digitalocean.com --> oauth analyzed OpenID configuration for ""digitalocean.com"" and found URL_UNVERIFIED: https://login.windows.net/common/discovery/keys --> URL_UNVERIFIED has host DNS_NAME: login.windows.net"
DNS_NAME,bc-wup.digitalocean.com,"2606:4700::6813:ad44,2606:4700::6813:ae44,104.19.173.68,104.19.174.68",anubisdb,0,"a-record,aaaa-record,cdn-cloudflare,cloud-digitalocean,in-scope,subdomain","Scan moist_fred seeded with DNS_NAME: digitalocean.com --> anubisdb searched anubisdb API for ""digitalocean.com"" and found DNS_NAME: bc-wup.digitalocean.com"
URL,http://digitalocean.com/,104.19.173.68,httpx,0,"cdn-cloudflare,cloud-digitalocean,dir,http-title-301-moved-permanently,in-scope,ip-104-19-173-68,status-301",Scan moist_fred seeded with DNS_NAME: digitalocean.com --> speculated OPEN_TCP_PORT: digitalocean.com:80 --> httpx visited digitalocean.com:80 and got status code 301 at http://digitalocean.com/
STORAGE_BUCKET,"{'name': 'digitalocean', 'url': 'https://digitalocean.blob.core.windows.net/'}",20.150.32.4,bucket_azure,1,"cdn-github,cloud-azure,distance-1",Scan moist_fred seeded with DNS_NAME: digitalocean.com --> bucket_azure tried 3 bucket variations of digitalocean.com and found STORAGE_BUCKET at https://digitalocean.blob.core.windows.net/digitalocean?restype=container
FINDING,"{'host': 'login.windows.net', 'description': 'Potentially Sprayable OAUTH Endpoint (domain: digitalocean.com) at https://login.windows.net/e3e671f5-d109-466d-98c2-b3fb0b4c1877/oauth2/token', 'url': 'https://login.windows.net/e3e671f5-d109-466d-98c2-b3fb0b4c1877/oauth2/token'}",,oauth->oauth,1,"affiliate,distance-1","Scan moist_fred seeded with DNS_NAME: digitalocean.com --> oauth identified OpenID Connect Endpoint for ""digitalocean.com"" at URL_UNVERIFIED: https://login.windows.net/digitalocean.com/.well-known/openid-configuration --> oauth identified FINDING: Potentially Sprayable OAUTH Endpoint (domain: digitalocean.com) at https://login.windows.net/e3e671f5-d109-466d-98c2-b3fb0b4c1877/oauth2/token"
DNS_NAME,api.digitalocean.com,"2606:4700::6813:ad44,2606:4700::6813:ae44,104.19.173.68,104.19.174.68",anubisdb,0,"a-record,aaaa-record,cdn-cloudflare,cloud-digitalocean,in-scope,subdomain","Scan moist_fred seeded with DNS_NAME: digitalocean.com --> anubisdb searched anubisdb API for ""digitalocean.com"" and found DNS_NAME: api.digitalocean.com"
DNS_NAME,o1.outbound-sg.digitalocean.com,168.245.108.17,PTR,0,"a-record,cloud-digitalocean,in-scope,subdomain",Scan moist_fred seeded with DNS_NAME: digitalocean.com --> TXT record for digitalocean.com contains DNS_NAME: spf.digitalocean.com --> TXT record for spf.digitalocean.com contains IP_ADDRESS: 168.245.108.17 --> PTR record for 168.245.108.17 contains DNS_NAME: o1.outbound-sg.digitalocean.com
DNS_NAME,ns3.digitalocean.com,"2400:cb00:2049:1::c629:dead,198.41.222.173",anubisdb,0,"a-record,aaaa-record,cdn-cloudflare,cloud-digitalocean,in-scope,subdomain","Scan moist_fred seeded with DNS_NAME: digitalocean.com --> anubisdb searched anubisdb API for ""digitalocean.com"" and found DNS_NAME: ns3.digitalocean.com"
DNS_NAME,www.digitalocean.com,"2606:4700::6813:ae44,104.19.173.68,104.19.174.68,2606:4700::6813:ad44",urlscan,0,"cdn-cloudflare,cloud-digitalocean,in-scope,subdomain","Scan moist_fred seeded with DNS_NAME: digitalocean.com --> urlscan searched urlscan.io API for ""digitalocean.com"" and found DNS_NAME: www.digitalocean.com"
DNS_NAME,groove.digitalocean.com,"52.73.246.103,44.217.103.227,54.158.187.45",anubisdb,0,"a-record,cloud-amazon,cloud-digitalocean,cname-record,in-scope,subdomain","Scan moist_fred seeded with DNS_NAME: digitalocean.com --> anubisdb searched anubisdb API for ""digitalocean.com"" and found DNS_NAME: groove.digitalocean.com"
DNS_NAME,email.digitalocean.com,"104.17.74.206,104.17.72.206,104.17.70.206,104.17.71.206,104.17.73.206",anubisdb,0,"a-record,cdn-cloudflare,cloud-digitalocean,cname-record,in-scope,ns-record,soa-record,subdomain","Scan moist_fred seeded with DNS_NAME: digitalocean.com --> anubisdb searched anubisdb API for ""digitalocean.com"" and found DNS_NAME: email.digitalocean.com"
DNS_NAME,clienteng-nyc3.digitalocean.com,162.243.188.137,anubisdb,0,"a-record,cloud-digitalocean,in-scope,subdomain","Scan moist_fred seeded with DNS_NAME: digitalocean.com --> anubisdb searched anubisdb API for ""digitalocean.com"" and found DNS_NAME: clienteng-nyc3.digitalocean.com"
DNS_NAME,o2.outbound-sg.digitalocean.com,168.245.49.182,anubisdb,0,"a-record,cloud-digitalocean,in-scope,subdomain","Scan moist_fred seeded with DNS_NAME: digitalocean.com --> anubisdb searched anubisdb API for ""digitalocean.com"" and found DNS_NAME: o2.outbound-sg.digitalocean.com"
AZURE_TENANT,"{'tenant-names': ['digitalocean'], 'domains': ['digitalocean.com', 'digitalocean.mail.onmicrosoft.com', 'digitalocean.onmicrosoft.com'], 'tenant-id': 'e3e671f5-d109-466d-98c2-b3fb0b4c1877'}",,azure_tenant,0,in-scope,"Scan moist_fred seeded with DNS_NAME: digitalocean.com --> azure_tenant queried Outlook autodiscover for ""digitalocean.com"" and found AZURE_TENANT: digitalocean"
DNS_NAME,assets.digitalocean.com,199.232.44.233,myssl,0,"a-record,cloud-digitalocean,cloud-fastly,cname-record,in-scope,subdomain","Scan moist_fred seeded with DNS_NAME: digitalocean.com --> myssl searched myssl API for ""digitalocean.com"" and found DNS_NAME: assets.digitalocean.com"
DNS_NAME,rwhois.digitalocean.com,69.55.52.248,columbus,0,"a-record,cloud-digitalocean,in-scope,subdomain","Scan moist_fred seeded with DNS_NAME: digitalocean.com --> columbus searched columbus API for ""digitalocean.com"" and found DNS_NAME: rwhois.digitalocean.com"
DNS_NAME,bc-log.digitalocean.com,"2606:4700::6813:ae44,104.19.173.68,104.19.174.68,2606:4700::6813:ad44",anubisdb,0,"a-record,aaaa-record,cdn-cloudflare,cloud-digitalocean,in-scope,subdomain","Scan moist_fred seeded with DNS_NAME: digitalocean.com --> anubisdb searched anubisdb API for ""digitalocean.com"" and found DNS_NAME: bc-log.digitalocean.com"
TECHNOLOGY,"{'host': 'digitalocean.com', 'technology': 'cloudflare', 'url': 'http://digitalocean.com/'}","2606:4700::6813:ae44,104.19.173.68,104.19.174.68,2606:4700::6813:ad44",httpx->wappalyzer,0,"cdn-cloudflare,cloud-digitalocean,in-scope",Scan moist_fred seeded with DNS_NAME: digitalocean.com --> speculated OPEN_TCP_PORT: digitalocean.com:80 --> httpx visited digitalocean.com:80 and got status code 301 at http://digitalocean.com/ --> HTTP_RESPONSE was 167B with text/html content type --> wappalyzer analyzed HTTP_RESPONSE and identified TECHNOLOGY: cloudflare
DNS_NAME,anchor.digitalocean.com,"104.17.74.206,104.17.72.206,104.17.70.206,104.17.71.206,104.17.73.206",myssl,0,"a-record,cdn-cloudflare,cloud-digitalocean,cname-record,in-scope,subdomain","Scan moist_fred seeded with DNS_NAME: digitalocean.com --> myssl searched myssl API for ""digitalocean.com"" and found DNS_NAME: anchor.digitalocean.com"
DNS_NAME,pilot.digitalocean.com,"2606:4700::6813:ae44,104.19.173.68,104.19.174.68,2606:4700::6813:ad44",hackertarget,0,"a-record,aaaa-record,cdn-cloudflare,cloud-digitalocean,in-scope,subdomain","Scan moist_fred seeded with DNS_NAME: digitalocean.com --> hackertarget searched hackertarget API for ""digitalocean.com"" and found DNS_NAME: pilot.digitalocean.com"
DNS_NAME,mkto-ab430114.com,"104.17.74.206,104.17.72.206,104.17.70.206,104.17.71.206,104.17.73.206",CNAME,1,"a-record,affiliate,cdn-cloudflare,distance-1,domain,ns-record,soa-record","Scan moist_fred seeded with DNS_NAME: digitalocean.com --> anubisdb searched anubisdb API for ""digitalocean.com"" and found DNS_NAME: email.digitalocean.com --> CNAME record for email.digitalocean.com contains DNS_NAME: mkto-ab430114.com"
DNS_NAME,cloudsupport.digitalocean.com,"13.228.64.84,13.228.64.85,13.228.64.83",leakix,0,"a-record,cloud-amazon,cloud-digitalocean,cname-record,in-scope,subdomain,txt-record","Scan moist_fred seeded with DNS_NAME: digitalocean.com --> leakix searched leakix API for ""digitalocean.com"" and found DNS_NAME: cloudsupport.digitalocean.com"
DNS_NAME,cloud.digitalocean.com,"104.19.174.68,2606:4700::6813:ae44,104.19.173.68,2606:4700::6813:ad44",urlscan,0,"a-record,aaaa-record,cdn-cloudflare,cloud-digitalocean,in-scope,subdomain","Scan moist_fred seeded with DNS_NAME: digitalocean.com --> urlscan searched urlscan.io API for ""digitalocean.com"" and found DNS_NAME: cloud.digitalocean.com"
CODE_REPOSITORY,{'url': 'https://github.com/digitalocean/rack-protection'},20.205.243.166,github_org,1,"cdn-github,distance-1,git","Scan moist_fred seeded with DNS_NAME: digitalocean.com --> speculated ORG_STUB: digitalocean --> github_org tried ""digitalocean"" as GitHub profile and discovered SOCIAL: https://github.com/digitalocean --> github_org listed repos for GitHub profile and discovered CODE_REPOSITORY: https://github.com/digitalocean/rack-protection"
DNS_NAME,prod-codd-admin.sfo2.internal.digitalocean.com,,certspotter,0,"cloud-digitalocean,in-scope,subdomain","Scan moist_fred seeded with DNS_NAME: digitalocean.com --> certspotter searched certspotter API for ""digitalocean.com"" and found DNS_NAME: prod-codd-admin.sfo2.internal.digitalocean.com"
DNS_NAME,sbc.digitalocean.com,34.102.213.72,anubisdb,0,"a-record,cloud-digitalocean,cloud-google,cname-record,in-scope,subdomain,txt-record","Scan moist_fred seeded with DNS_NAME: digitalocean.com --> anubisdb searched anubisdb API for ""digitalocean.com"" and found DNS_NAME: sbc.digitalocean.com"
DNS_NAME,obs-marathon.s2r2.internal.digitalocean.com,,otx,0,"cloud-digitalocean,in-scope,subdomain","Scan moist_fred seeded with DNS_NAME: digitalocean.com --> otx searched otx API for ""digitalocean.com"" and found DNS_NAME: obs-marathon.s2r2.internal.digitalocean.com"
FINDING,"{'host': 'digitalocean.firebaseio.com', 'description': 'Open storage bucket', 'url': 'https://digitalocean.firebaseio.com/'}",,bucket_firebase,1,distance-1,Scan moist_fred seeded with DNS_NAME: digitalocean.com --> bucket_firebase tried 3 bucket variations of digitalocean.com and found STORAGE_BUCKET at https://digitalocean.firebaseio.com/.json --> STORAGE_BUCKET has host DNS_NAME: digitalocean.firebaseio.com --> cloud_google derived STORAGE_BUCKET: digitalocean.firebaseio.com --> bucket_firebase scanned STORAGE_BUCKET and identified FINDING: Open storage bucket
DNS_NAME,vpnuntrust-sfo2.digitalocean.com,138.68.32.134,hackertarget,0,"a-record,cloud-digitalocean,in-scope,subdomain","Scan moist_fred seeded with DNS_NAME: digitalocean.com --> hackertarget searched hackertarget API for ""digitalocean.com"" and found DNS_NAME: vpnuntrust-sfo2.digitalocean.com"
DNS_NAME,notebooks-staging.digitalocean.com,"2606:4700::6813:ae44,104.19.173.68,104.19.174.68,2606:4700::6813:ad44",hackertarget,0,"a-record,aaaa-record,cdn-cloudflare,cloud-digitalocean,in-scope,subdomain","Scan moist_fred seeded with DNS_NAME: digitalocean.com --> hackertarget searched hackertarget API for ""digitalocean.com"" and found DNS_NAME: notebooks-staging.digitalocean.com"
DNS_NAME,blog.digitalocean.com,"2606:4700::6813:ae44,104.19.173.68,104.19.174.68,2606:4700::6813:ad44",sitedossier,0,"a-record,aaaa-record,cdn-cloudflare,cloud-digitalocean,in-scope,subdomain","Scan moist_fred seeded with DNS_NAME: digitalocean.com --> sitedossier searched sitedossier.com for ""digitalocean.com"" and found DNS_NAME: blog.digitalocean.com"
DNS_NAME,lb.digitalocean.com,"104.19.174.68,2606:4700::6813:ae44,104.19.173.68,2606:4700::6813:ad44",anubisdb,0,"a-record,aaaa-record,cdn-cloudflare,cloud-digitalocean,in-scope,subdomain","Scan moist_fred seeded with DNS_NAME: digitalocean.com --> anubisdb searched anubisdb API for ""digitalocean.com"" and found DNS_NAME: lb.digitalocean.com"
DNS_NAME,go.digitalocean.com,,leakix,0,"cloud-digitalocean,cname-record,in-scope,subdomain","Scan moist_fred seeded with DNS_NAME: digitalocean.com --> leakix searched leakix API for ""digitalocean.com"" and found DNS_NAME: go.digitalocean.com"
DNS_NAME,boomi.digitalocean.com,"104.19.174.68,2606:4700::6813:ae44,104.19.173.68,2606:4700::6813:ad44",leakix,0,"a-record,aaaa-record,cdn-cloudflare,cloud-digitalocean,in-scope,subdomain","Scan moist_fred seeded with DNS_NAME: digitalocean.com --> leakix searched leakix API for ""digitalocean.com"" and found DNS_NAME: boomi.digitalocean.com"
DNS_NAME,try.digitalocean.com,"2606:4700::6813:ad44,2606:4700::6813:ae44,104.19.173.68,104.19.174.68",hackertarget,0,"a-record,aaaa-record,cdn-cloudflare,cloud-digitalocean,in-scope,subdomain","Scan moist_fred seeded with DNS_NAME: digitalocean.com --> hackertarget searched hackertarget API for ""digitalocean.com"" and found DNS_NAME: try.digitalocean.com"
DNS_NAME,digitalocean.onmicrosoft.com,,azure_tenant,1,"affiliate,azure-tenant,cloud-azure,distance-1,mx-record,subdomain,txt-record","Scan moist_fred seeded with DNS_NAME: digitalocean.com --> azure_tenant queried Outlook autodiscover for ""digitalocean.com"" and found DNS_NAME: digitalocean.onmicrosoft.com"
DNS_NAME,digitalocean.mail.onmicrosoft.com,,azure_tenant,1,"affiliate,azure-tenant,cloud-azure,distance-1,mx-record,subdomain,txt-record","Scan moist_fred seeded with DNS_NAME: digitalocean.com --> azure_tenant queried Outlook autodiscover for ""digitalocean.com"" and found DNS_NAME: digitalocean.mail.onmicrosoft.com"
DNS_NAME,marketplace-assets.digitalocean.com,"2606:4700::6813:ae44,104.19.174.68,104.19.173.68,2606:4700::6813:ad44",myssl,0,"a-record,aaaa-record,cdn-cloudflare,cloud-digitalocean,in-scope,subdomain","Scan moist_fred seeded with DNS_NAME: digitalocean.com --> myssl searched myssl API for ""digitalocean.com"" and found DNS_NAME: marketplace-assets.digitalocean.com"
STORAGE_BUCKET,"{'name': 'sonar.digitalocean.com', 'url': 'https://sonar.digitalocean.com.s3.amazonaws.com/'}","52.219.193.57,52.219.192.25,52.219.216.57,52.219.220.57,52.219.216.25,52.219.194.25,52.219.220.137,52.219.117.169",bucket_amazon,1,"cloud-amazon,distance-1",Scan moist_fred seeded with DNS_NAME: digitalocean.com --> speculated OPEN_TCP_PORT: digitalocean.com:443 --> sslcert parsed SSL certificate at digitalocean.com:443 and found DNS_NAME: sonar.digitalocean.com --> bucket_amazon tried 6 bucket variations of sonar.digitalocean.com and found STORAGE_BUCKET at https://sonar.digitalocean.com.s3.amazonaws.com/
DNS_NAME,ns1.marketo.com,199.15.213.1,NS,1,"a-record,affiliate,distance-1,subdomain","Scan moist_fred seeded with DNS_NAME: digitalocean.com --> anubisdb searched anubisdb API for ""digitalocean.com"" and found DNS_NAME: email.digitalocean.com --> NS record for email.digitalocean.com contains DNS_NAME: ns1.marketo.com"
URL,http://digitalocean.com:2086/,104.19.174.68,httpx,0,"cdn-cloudflare,cloud-digitalocean,dir,http-title-301-moved-permanently,in-scope,ip-104-19-174-68,status-301","Scan moist_fred seeded with DNS_NAME: digitalocean.com --> internetdb queried Shodan's InternetDB API for ""digitalocean.com (104.19.173.68)"" and found OPEN_TCP_PORT: digitalocean.com:2086 --> httpx visited digitalocean.com:2086 and got status code 301 at http://digitalocean.com:2086/"
